lng,lat,time,flow,dm
116.458,39.949,2017-06-12 16:00:00,1,5
116.458,39.949,2017-06-12 17:00:00,4,10
116.458,39.949,2017-06-12 18:00:00,3,22
116.458,39.949,2017-06-12 19:00:00,2,15
116.458,39.949,2017-06-12 20:00:00,2,8
116.458,39.949,2017-06-12 21:00:00,4,8
116.458,39.949,2017-06-12 22:00:00,1,6
116.458,39.949,2017-06-12 23:00:00,0,8
116.458,39.949,2017-06-13 00:00:00,0,6
116.458,39.949,2017-06-13 01:00:00,0,6
116.458,39.949,2017-06-13 02:00:00,0,6
116.458,39.949,2017-06-13 03:00:00,0,6
116.458,39.949,2017-06-13 04:00:00,0,6
116.458,39.949,2017-06-13 05:00:00,0,6
116.458,39.949,2017-06-13 06:00:00,1,7
116.458,39.949,2017-06-13 07:00:00,0,12
116.458,39.949,2017-06-13 08:00:00,3,14
116.458,39.949,2017-06-13 09:00:00,2,10
116.458,39.949,2017-06-13 10:00:00,1,1
116.458,39.949,2017-06-13 11:00:00,2,1
116.458,39.949,2017-06-13 12:00:00,1,0
116.458,39.949,2017-06-13 13:00:00,6,3
116.458,39.949,2017-06-13 14:00:00,2,1
116.458,39.949,2017-06-13 15:00:00,1,1
116.458,39.949,2017-06-13 16:00:00,2,2
116.458,39.949,2017-06-13 17:00:00,3,5
116.458,39.949,2017-06-13 18:00:00,7,8
116.458,39.949,2017-06-13 19:00:00,1,5
116.458,39.949,2017-06-13 20:00:00,0,2
116.458,39.949,2017-06-13 21:00:00,2,8
116.458,39.949,2017-06-13 22:00:00,1,1
116.458,39.949,2017-06-13 23:00:00,0,1
116.458,39.949,2017-06-14 00:00:00,2,1
116.458,39.949,2017-06-14 01:00:00,0,0
116.458,39.949,2017-06-14 02:00:00,0,0
116.458,39.949,2017-06-14 03:00:00,0,0
116.458,39.949,2017-06-14 04:00:00,0,0
116.458,39.949,2017-06-14 05:00:00,0,0
116.458,39.949,2017-06-14 06:00:00,1,2
116.458,39.949,2017-06-14 07:00:00,2,3
116.458,39.949,2017-06-14 08:00:00,4,6
116.458,39.949,2017-06-14 09:00:00,4,9
